run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,iterations,purification_level,twirling_enabled,bloch_r_init,bloch_r_final
M1_N2_depolarizing_iid_p_p0.50000,1,2,depolarizing,iid_p,0.5,0.5,0.6666666667,1,0.3333333333,1.11E-16,0.5555555556,1,3.33E-16,6,1,6,TRUE,0.3333333333,1
M1_N2_depolarizing_iid_p_p0.50000,1,2,depolarizing,iid_p,0.5,0.5,0.6666666667,1,0.3333333333,1.11E-16,0.5555555556,1,3.33E-16,7,1,7,TRUE,0.3333333333,1
M1_N2_depolarizing_iid_p_p0.50000,1,2,depolarizing,iid_p,0.5,0.5,0.6666666667,1,0.3333333333,1.11E-16,0.5555555556,1,3.33E-16,8,1,8,TRUE,0.3333333333,1
M1_N2_depolarizing_iid_p_p0.50000,1,2,depolarizing,iid_p,0.5,0.5,0.6666666667,1,0.3333333333,1.11E-16,0.5555555556,1,3.33E-16,9,1,9,TRUE,0.3333333333,1
M1_N2_depolarizing_iid_p_p0.50000,1,2,depolarizing,iid_p,0.5,0.5,0.6666666667,1,0.3333333333,1.11E-16,0.5555555556,1,3.33E-16,10,1,10,TRUE,0.3333333333,1
M1_N2_depolarizing_iid_p_p0.60000,1,2,depolarizing,iid_p,0.6,0.6,0.6,0.6,0.4,0.4,0.52,0.52,1,0,1,0,TRUE,0.2,0.2
M1_N2_depolarizing_iid_p_p0.60000,1,2,depolarizing,iid_p,0.6,0.6,0.6,0.6923076923,0.4,0.3076923077,0.52,0.573964497,0.7692307692,1,1,1,TRUE,0.2,0.3846153846
M1_N2_depolarizing_iid_p_p0.60000,1,2,depolarizing,iid_p,0.6,0.6,0.6,0.8350515464,0.4,0.1649484536,0.52,0.7245190775,0.412371134,2,1,2,TRUE,0.2,0.6701030928
M1_N2_depolarizing_iid_p_p0.60000,1,2,depolarizing,iid_p,0.6,0.6,0.6,0.9624468241,0.4,0.03755317588,0.52,0.9277141303,0.09388293971,3,1,3,TRUE,0.2,0.9248936482
M1_N2_depolarizing_iid_p_p0.60000,1,2,depolarizing,iid_p,0.6,0.6,0.6,0.9984798755,0.4,0.001520124544,0.52,0.9969643725,0.003800311359,4,1,4,TRUE,0.2,0.9969597509
M1_N2_depolarizing_iid_p_p0.60000,1,2,depolarizing,iid_p,0.6,0.6,0.6,0.9999976822,0.4,2.32E-06,0.52,0.9999953644,5.79E-06,5,1,5,TRUE,0.2,0.9999953644
M1_N2_depolarizing_iid_p_p0.60000,1,2,depolarizing,iid_p,0.6,0.6,0.6,1,0.4,5.37E-12,0.52,1,1.34E-11,6,1,6,TRUE,0.2,1
M1_N2_depolarizing_iid_p_p0.60000,1,2,depolarizing,iid_p,0.6,0.6,0.6,1,0.4,1.11E-16,0.52,1,2.78E-16,7,1,7,TRUE,0.2,1
M1_N2_depolarizing_iid_p_p0.60000,1,2,depolarizing,iid_p,0.6,0.6,0.6,1,0.4,1.11E-16,0.52,1,2.78E-16,8,1,8,TRUE,0.2,1
M1_N2_depolarizing_iid_p_p0.60000,1,2,depolarizing,iid_p,0.6,0.6,0.6,1,0.4,1.11E-16,0.52,1,2.78E-16,9,1,9,TRUE,0.2,1
M1_N2_depolarizing_iid_p_p0.60000,1,2,depolarizing,iid_p,0.6,0.6,0.6,1,0.4,1.11E-16,0.52,1,2.78E-16,10,1,10,TRUE,0.2,1
M1_N2_depolarizing_iid_p_p0.70000,1,2,depolarizing,iid_p,0.7,0.7,0.5333333333,0.5333333333,0.4666666667,0.4666666667,0.5022222222,0.5022222222,1,0,1,0,TRUE,0.06666666667,0.06666666667
M1_N2_depolarizing_iid_p_p0.70000,1,2,depolarizing,iid_p,0.7,0.7,0.5333333333,0.5663716814,0.4666666667,0.4336283186,0.5022222222,0.5088104002,0.9292035398,1,1,1,TRUE,0.06666666667,0.1327433628
M1_N2_depolarizing_iid_p_p0.70000,1,2,depolarizing,iid_p,0.7,0.7,0.5333333333,0.6304448207,0.4666666667,0.3695551793,0.5022222222,0.5340317025,0.7919039557,2,1,2,TRUE,0.06666666667,0.2608896414
M1_N2_depolarizing_iid_p_p0.70000,1,2,depolarizing,iid_p,0.7,0.7,0.5333333333,0.744264189,0.4666666667,0.255735811,0.5022222222,0.619329988,0.5480053094,3,1,3,TRUE,0.06666666667,0.4885283779
M1_N2_depolarizing_iid_p_p0.70000,1,2,depolarizing,iid_p,0.7,0.7,0.5333333333,0.8944007132,0.4666666667,0.1055992868,0.5022222222,0.8111038451,0.2262841861,4,1,4,TRUE,0.06666666667,0.7888014263
M1_N2_depolarizing_iid_p_p0.70000,1,2,depolarizing,iid_p,0.7,0.7,0.5333333333,0.9862518105,0.4666666667,0.01374818952,0.5022222222,0.9728816464,0.02946040611,5,1,5,TRUE,0.06666666667,0.972503621
M1_N2_depolarizing_iid_p_p0.70000,1,2,depolarizing,iid_p,0.7,0.7,0.5333333333,0.9998057187,0.4666666667,0.0001942813041,0.5022222222,0.9996115129,0.0004163170802,6,1,6,TRUE,0.06666666667,0.9996114374
M1_N2_depolarizing_iid_p_p0.70000,1,2,depolarizing,iid_p,0.7,0.7,0.5333333333,0.9999999622,0.4666666667,3.78E-08,0.5022222222,0.9999999245,8.09E-08,7,1,7,TRUE,0.06666666667,0.9999999245
M1_N2_depolarizing_iid_p_p0.70000,1,2,depolarizing,iid_p,0.7,0.7,0.5333333333,1,0.4666666667,1.28E-15,0.5022222222,1,2.74E-15,8,1,8,TRUE,0.06666666667,1
M1_N2_depolarizing_iid_p_p0.70000,1,2,depolarizing,iid_p,0.7,0.7,0.5333333333,1,0.4666666667,1.11E-16,0.5022222222,1,2.38E-16,9,1,9,TRUE,0.06666666667,1
M1_N2_depolarizing_iid_p_p0.70000,1,2,depolarizing,iid_p,0.7,0.7,0.5333333333,1,0.4666666667,1.11E-16,0.5022222222,1,2.38E-16,10,1,10,TRUE,0.06666666667,1
M1_N2_depolarizing_iid_p_p0.80000,1,2,depolarizing,iid_p,0.8,0.8,0.4666666667,0.4666666667,0.5333333333,0.5333333333,0.5022222222,0.5022222222,1,0,1,0,TRUE,0.06666666667,0.06666666667
M1_N2_depolarizing_iid_p_p0.80000,1,2,depolarizing,iid_p,0.8,0.8,0.4666666667,0.4336283186,0.5333333333,0.5663716814,0.5022222222,0.5088104002,1.061946903,1,1,1,TRUE,0.06666666667,0.1327433628
M1_N2_depolarizing_iid_p_p0.80000,1,2,depolarizing,iid_p,0.8,0.8,0.4666666667,0.3695551793,0.5333333333,0.6304448207,0.5022222222,0.5340317025,1.182084039,2,1,2,TRUE,0.06666666667,0.2608896414
M1_N2_depolarizing_iid_p_p0.80000,1,2,depolarizing,iid_p,0.8,0.8,0.4666666667,0.255735811,0.5333333333,0.744264189,0.5022222222,0.619329988,1.395495354,3,1,3,TRUE,0.06666666667,0.4885283779
