noise_type,dimension,N,physical_error_rate,total_states_processed,output_states_count,max_stack_depth_used,theoretical_memory_bound,memory_efficiency,total_swap_operations,total_amplification_iterations,best_output_error,worst_output_error,average_output_error,memory_improvement_vs_batch,output_error_levels,convergence_achieved,noise_model_name
depolarizing,4,64,0.99,0,1,6,7,6.0,63,0,0.7268693622294538,0.7268693622294538,0.7268693622294538,10.666666666666666,[6],True,Depolarizing_d4_delta0.990
depolarizing,4,128,0.01,0,1,7,8,7.0,127,0,5.9774924073829894e-05,5.9774924073829894e-05,5.9774924073829894e-05,18.285714285714285,[7],True,Depolarizing_d4_delta0.010
depolarizing,4,128,0.1,0,1,7,8,7.0,127,0,0.000723407385916891,0.000723407385916891,0.000723407385916891,18.285714285714285,[7],True,Depolarizing_d4_delta0.100
depolarizing,4,128,0.5,0,1,7,8,7.0,127,0,0.012594566671576851,0.012594566671576851,0.012594566671576851,18.285714285714285,[7],True,Depolarizing_d4_delta0.500
depolarizing,4,128,0.7,0,1,7,8,7.0,127,0,0.05559372739162166,0.05559372739162166,0.05559372739162166,18.285714285714285,[7],True,Depolarizing_d4_delta0.700
depolarizing,4,128,0.8,0,1,7,8,7.0,127,0,0.14613282741465142,0.14613282741465142,0.14613282741465142,18.285714285714285,[7],True,Depolarizing_d4_delta0.800
depolarizing,4,128,0.9,0,1,7,8,7.0,127,0,0.40265949860207084,0.40265949860207084,0.40265949860207084,18.285714285714285,[7],True,Depolarizing_d4_delta0.900
depolarizing,4,128,0.95,0,1,7,8,7.0,127,0,0.5891100899860575,0.5891100899860575,0.5891100899860575,18.285714285714285,[7],True,Depolarizing_d4_delta0.950
depolarizing,4,128,0.99,0,1,7,8,7.0,127,0,0.7219738816209328,0.7219738816209328,0.7219738816209328,18.285714285714285,[7],True,Depolarizing_d4_delta0.990
depolarizing,4,256,0.01,0,1,8,9,8.0,255,0,2.988984413584972e-05,2.988984413584972e-05,2.988984413584972e-05,32.0,[8],True,Depolarizing_d4_delta0.010
depolarizing,4,256,0.1,0,1,8,9,8.0,255,0,0.0003620526979493943,0.0003620526979493943,0.0003620526979493943,32.0,[8],True,Depolarizing_d4_delta0.100
depolarizing,4,256,0.5,0,1,8,9,8.0,255,0,0.006403695102960905,0.006403695102960905,0.006403695102960905,32.0,[8],True,Depolarizing_d4_delta0.500
depolarizing,4,256,0.7,0,1,8,9,8.0,255,0,0.029913333125375224,0.029913333125375224,0.029913333125375224,32.0,[8],True,Depolarizing_d4_delta0.700
depolarizing,4,256,0.8,0,1,8,9,8.0,255,0,0.08826773445206623,0.08826773445206623,0.08826773445206623,32.0,[8],True,Depolarizing_d4_delta0.800
depolarizing,4,256,0.9,0,1,8,9,8.0,255,0,0.32370625451371093,0.32370625451371093,0.32370625451371093,32.0,[8],True,Depolarizing_d4_delta0.900
depolarizing,4,256,0.95,0,1,8,9,8.0,255,0,0.5486850356104164,0.5486850356104164,0.5486850356104164,32.0,[8],True,Depolarizing_d4_delta0.950
depolarizing,4,256,0.99,0,1,8,9,8.0,255,0,0.7159782485391069,0.7159782485391069,0.7159782485391069,32.0,[8],True,Depolarizing_d4_delta0.990
depolarizing,4,512,0.01,0,1,9,10,9.0,511,0,1.4945517678527365e-05,1.4945517678527365e-05,1.4945517678527365e-05,56.888888888888886,[9],True,Depolarizing_d4_delta0.010
depolarizing,4,512,0.1,0,1,9,10,9.0,511,0,0.00018111375289625586,0.00018111375289625586,0.00018111375289625586,56.888888888888886,[9],True,Depolarizing_d4_delta0.100
depolarizing,4,512,0.5,0,1,9,10,9.0,511,0,0.0032292731011152598,0.0032292731011152598,0.0032292731011152598,56.888888888888886,[9],True,Depolarizing_d4_delta0.500
depolarizing,4,512,0.7,0,1,9,10,9.0,511,0,0.015562029985443843,0.015562029985443843,0.015562029985443843,56.888888888888886,[9],True,Depolarizing_d4_delta0.700
depolarizing,4,512,0.8,0,1,9,10,9.0,511,0,0.04954857845956709,0.04954857845956709,0.04954857845956709,56.888888888888886,[9],True,Depolarizing_d4_delta0.800
depolarizing,4,512,0.9,0,1,9,10,9.0,511,0,0.24032325891891912,0.24032325891891912,0.24032325891891912,56.888888888888886,[9],True,Depolarizing_d4_delta0.900
depolarizing,4,512,0.95,0,1,9,10,9.0,511,0,0.49771349663610054,0.49771349663610054,0.49771349663610054,56.888888888888886,[9],True,Depolarizing_d4_delta0.950
